번호,상호,도로명주소,지번주소,좌표
7607,로또,경북 청송군 안덕로 63-2,경북 청송군 안덕면 명당리 383-9,"128.9581107,36.2885105"
7608,해뜰날,경북 칠곡군 인강1길 62-10,경북 칠곡군 북삼읍 인평리 642-3,"128.3391464,36.0667823"
7609,행운대박복권,경북 칠곡군 석적로 955-9,경북 칠곡군 석적읍 남율리 737,"128.3930827,36.0749247"
7610,행복한 복권,경북 칠곡군 금오대로 229,경북 칠곡군 북삼읍 인평리 222,"128.3454625,36.0661944"
7611,남부복권방,경북 칠곡군 중앙로 163,경북 칠곡군 왜관읍 왜관리 289-11,"128.3993118,35.9895272"
7612,월성상회복권방,경북 포항시 북구 용당로91번길 6,경북 포항시 북구 대흥동 595-68,"129.3610830,36.0360447"
7613,대명로또,경북 포항시 남구 중앙로121번길 56,경북 포항시 남구 대도동 18-2,"129.3630348,36.0268472"
7614,우주로또,경북 포항시 북구 흥해로81번길 2-1,경북 포항시 북구 흥해읍 성내리 51-2,"129.3477021,36.1120180"
7615,공단로또명당,경북 포항시 남구 철강로 200,경북 포항시 남구 장흥동 569-18,"129.3638033,35.9861065"
7616,승리로또,경북 포항시 남구 유동길 30,경북 포항시 남구 효자동 438-15,"129.3261190,36.0064275"
7617,뽑아라제일로또,경북 포항시 북구 삼호로 16-1,경북 포항시 북구 덕산동 114-41,"129.3675969,36.0423329"
7618,베러로또,경북 경산시 대학로 321,경북 경산시 조영동 305-1,"128.7559701,35.8390139"
7619,복권 판매점,경북 경산시 대경로161길 23-11,경북 경산시 하양읍 동서리 639-3,"128.8244932,35.9170325"
7620,크린토피아(경주 금장점),경북 경주시 안현로 19-2,경북 경주시 현곡면 금장리 440-3,"129.2026725,35.8694181"
7621,지유로또방,경북 경주시 유림로 23,경북 경주시 황성동 1074-1,"129.2150743,35.8740705"
7622,선샤인 로또,경북 경주시 산업로 2984,경북 경주시 시래동 305,"129.3023769,35.7735513"
7623,복권명당다산점,경북 고령군 상곡2길 8,경북 고령군 다산면 상곡리 151-6,"128.4491959,35.8242244"
7624,평화마트,경북 고령군 시장3길 28,경북 고령군 대가야읍 쾌빈리 553-4,"128.2669300,35.7274407"
7625,리틀밥독 소이 행운복권 ,경북 구미시 이계남로 144,경북 구미시 인의동 1003-3,"128.4180649,36.1049445"
7626,형곡로또 금오산입구점,경북 구미시 공원로 372,경북 구미시 형곡동 287-1,"128.3321695,36.1082483"
7627,부자로또,경북 구미시 형곡서로 65,경북 구미시 형곡동 245-3,"128.3345304,36.1081340"
7628,트리플 카페,경북 구미시 상사동로 41,경북 구미시 상모동 67-4,"128.3584100,36.0883417"
7629,로또명당,경북 구미시 상사서로 125,경북 구미시 사곡동 690-6,"128.3553402,36.0936878"
7630,텐텐로또,경북 구미시 산호대로 419,경북 구미시 비산동 28,"128.3853371,36.1212553"
